"county_state","TotalPopulation","numrace","numincome","PercentWhite","PercentBlackAfrAm","PercentAsian","PercentAge0to19","PercentAge20to39","PercentAge40Plus","PercentIncome0to50k","PercentIncome50to99k","PercentIncome100to149k","PercentIncome150to199k","PercentIncome200kPlus","TotalSales","SalesPerCapita","logpop","predicted_sales_per_cap","difference_scp","county","state","DMA"
"Abbeville, SC",3639,3573,1175,67.898124825077,29.946823397705,2.15505177721802,25.5289914811761,25.3366309425666,49.1343775762572,55.4893617021277,30.9787234042553,9.78723404255319,2.21276595744681,1.53191489361702,3727,1.09027851265701,8.19946419761216,1.24837913134817,-0.158100618691163,"Abbeville","SC","Greenville-Spartanburg SC-Asheville NC-Anderson SC"
"Acadia, LA",14309,13942,4757,82.0542246449577,17.9457753550423,0,32.4830526242225,27.5071633237822,40.0097840519952,58.8606264452386,23.9016186672272,13.6640739962161,1.51355896573471,2.06012192558335,18577,1.3429315498179,9.56864398890674,2.94282776421361,-1.59989621439571,"Acadia","LA","Lafayette LA"
"Accomack, VA",10701,10558,4300,71.2445538927827,27.1642356506914,0.681947338511082,24.8107653490328,21.1475563031492,54.041678347818,49.3953488372093,33.8139534883721,8.93023255813953,4.53488372093023,3.32558139534884,44422,4.65077015455401,9.278092474027,3.74207860851594,0.908691546038067,"Accomack","VA","Norfolk-Portsmouth-Newport News VA"
"Ada, ID",70541,67479,28548,96.0269120763497,0.809140621526697,2.49262733591191,23.7875845253115,26.3733148098269,49.8391006648616,39.7505954883004,31.0634720470786,14.2742048479753,6.67997758161693,8.23175003502872,91027,1.41087779710939,11.1639493800434,1.78721525465954,-0.376337457550142,"Ada","ID","Boise ID"
"Adair, KY",14436,14289,5087,94.6812233186367,4.16404227027784,0.839806844425782,26.3230811859241,24.8614574674425,48.8154613466334,62.6302339296245,25.3587576174563,7.62728523687832,2.83074503636721,1.55297817967368,58068,4.17431092664413,9.57748036576268,3.88853604700697,0.285774879637163,"Adair","KY","Louisville KY"
"Adair, MO",9231,9020,3635,96.0753880266075,1.74057649667406,1.59645232815965,26.4868378290543,28.3284584552053,45.1847037157404,50.7290233837689,31.4718019257221,12.7647867950481,4.37414030261348,0.660247592847318,29492,2.96200154890358,9.13032266399015,3.08342077173341,-0.121419222829831,"Adair","MO","OttumwaIa-Kirksville MO"
"Adair, OK",4375,3977,1557,60.8750314307267,0.176012069399044,0.477747045511692,27.3828571428571,23.9542857142857,48.6628571428571,67.6300578034682,22.2222222222222,8.15671162491972,0.770712909441233,1.22029543994862,5467,1.28192133002292,8.38366179879172,1.40528780167492,-0.123366471651996,"Adair","OK","Tulsa OK"
"Adams, CO",390327,350446,128391,90.2635498764432,3.86050917973097,4.52109597484348,29.3569238100362,30.9389306914459,39.7041454985179,35.4004564182848,34.5982195013669,17.5954700874672,7.36422334898864,5.04163064389248,907424,2.54934152040289,12.8747401283318,2.52697932312477,0.0223621972781212,"Adams","CO","Denver CO"
"Adams, IL",38635,37905,15529,93.4335839598997,5.02044585147078,1.09220419469727,25.3707777921574,24.1542642681506,50.474957939692,44.4651941528753,34.2134071736751,13.1817889110696,4.26299182175285,3.87661794062721,143841,3.62560191724198,10.5619138803677,3.33656003572047,0.289041881521515,"Adams","IL","QuincyIl-Hannibal MO-Keokuk IA"
"Adams, IN",28063,27527,9638,98.2417263050823,1.32960366185927,0.37781087659389,35.4203043152906,23.6218508356199,40.9578448490895,48.3606557377049,32.2473542228678,14.0900601784603,2.43826520024901,2.86366466071799,67023,2.51788840902388,10.2422072616978,2.9951670533521,-0.477278644328228,"Adams","IN","Ft. Wayne IN"
